"Name","TID","Disabled","ExistsApple","ExistsAndroid","ExistsAmazon","Diamonds","USD","IconSWF","IconExportName","ShopItemExportName","OfferItemExportName","Order","RED","RMB","KunlunOnly","LenovoID","TencentID","HuaweiID","KunlunID","isOfferPackage","OfferedByCalendar","GiftCard","SCIDStore"
"String","String","boolean","boolean","boolean","boolean","int","int","String","String","String","String","int","boolean","int","boolean","int","String","int","int","boolean","boolean","boolean","boolean"
"com.supercell.magic.package1","TID_DIAMOND_PACK_1",,"TRUE","TRUE","TRUE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,9661,"GD2016112815090911099008",2069001,20691001,,,,
"com.supercell.magic.package2","TID_DIAMOND_PACK_2",,"TRUE","TRUE","TRUE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,9662,"GD2016112815163311338921",2069002,20691002,,,,
"com.supercell.magic.package3","TID_DIAMOND_PACK_3",,"TRUE","TRUE","TRUE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,9663,"GD2016112815450811085368",2069003,20691003,,,,
"com.supercell.magic.package4","TID_DIAMOND_PACK_4",,"TRUE","TRUE","TRUE",6500,4999,"sc/shop.sc","icon_gem_large","shop_item_diamond_pack_large","special_offer_item_gem_4",5,,32800,,9664,"GD2016112815473711373751",2069004,20691004,,,,
"com.supercell.magic.package5","TID_DIAMOND_PACK_5",,"TRUE","TRUE","TRUE",14000,9999,"sc/shop.sc","icon_gem_huge","shop_item_diamond_pack_large","special_offer_item_gem_5",6,,64800,,9665,"GD2016112815533711372742",2069005,20691005,,,,
"com.supercell.magic.package0","TID_DIAMOND_PACK_RED","TRUE","FALSE","FALSE","FALSE",500,499,"sc/shop.sc","icon_gem_red","shop_item_diamond_pack_red","special_offer_item_gem_1",0,"true",3000,,186997,"GD2017121417493912396616",2069037,20691037,,"true",,
"com.supercell.magic.package7","TID_DIAMOND_PACK_6",,"TRUE","TRUE","TRUE",80,99,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,600,,95472,"GD2016112815063311332757",2069006,20691006,,,,
"com.supercell.magic.th1","TID_SPECIAL_OFFER","TRUE","TRUE","TRUE","TRUE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,95473,"GD2017010414245601562725",2069007,20691007,"true",,,
"com.supercell.magic.th2","TID_SPECIAL_OFFER","TRUE","TRUE","TRUE","TRUE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,95474,"GD2017010414271901198484",2069008,20691008,"true",,,
