"Name","-"
"String","int"
"Markus Aalto",
"Seth Allison",
"Marika Appel",
"Cosmin Baltaretu",
"Dennis Belfrage",
"John Cipriani",
"Jonas Collaros",
"Stephan Demirdjian",
"Niko Derome",
"James Ellis",
"Visa Forsten",
"Jon Franzas",
"Tommi Hakala",
"Stefan Hauk",
"David Häggqvist",
"Lyla Jeong",
"Eino Joas",
"Pauli Kaila",
"Rene Kivioja",
"Rauli Laatikainen",
"Mikko Lehtonen",
"Ilkka Leino",
"Lassi Leppinen",
"Seonhee Lim",
"Leo Linnamaa",
"Jani Lintunen",
"Lasse Louhento",
"Lauri Manninen",
"Ana Martins",
"Stuart McGaw",
"Taneli Oksama",
"Andreas Papathanasis",
"Diego Ruiz Pomares",
"Riku Rikala",
"Petri Savola",
"Martin Schjøler",
"Hayato Sekiguchi",
"Oliver Ström",
"Petri Styrman",
"Ville Suur-Uski",
"Tommi Suvinen",
"Antti Takala",
"Tero Tarkiainen",
"Arto Tervo",
"Stijn Tops",
"Vladimir Tsoi",
"Jouni Utriainen",
"Veli Vainio",
"Antti Varila",
"Jussi Virtanen",
"Darian Vorlick",
"Tristan Williams",
"Kustaa Vuori",
"_",
"Gabriele Aimone",
"Jonatas Chagas",
"Erlend Christoffersen",
"Sean Cornejo",
"Hannu Halonen",
"Greg Harper",
"Timo Heinäpurola",
"Jari Hokkanen",
"Mikko Hokkanen",
"Jessica Hollmeier",
"Daniel Iosca",
"Shen Jin",
"Robert Kamphuis",
"Mikko Kodisoja",
"Kristian Kurki",
"Miki Kuusi",
"Manuel Langegger",
"Christina Lee",
"Ville Leino",
"Laura Macdonald",
"Marcus Ng",
"Jumpei Oki",
"Ilkka Paananen",
"Christopher Peake",
"Douglas Portugal",
"Carole Riault",
"Antti Ripatti",
"Stephen Rosenshein",
"Oscar Subirats",
"Antti Summala",
"Wilhelm Tigerstedt",
"Kalle Väisänen",
"Ryan Wener",
"Sami Yliharju",
"Jessica Yuan",
"Zhao Zeng",
"Simião Carvalho",
