"Name","ParticleCount","EmissionTime","MinLife","MaxLife","MinHorizAngle","MaxHorizAngle","MinVertAngle","MaxVertAngle","MinSpeed","MaxSpeed","StartX","StartY","StartZ","TargetedEndZ","Gravity","OrientToMovement","OrientToParent","BounceFromGround","IsIsoParticle","ParticleSwf","ParticleExportName","AdditiveBlend","Inertia","Slowdown","StartRadius","StartScale","EndScale","MinRotate","MaxRotate","ParticleFadeOutTime","ScaleTimeline","FadeInTime","FadeOutTime","StartAngleMin","StartAngleMax","ScaleRandomMin","ScaleRandomMax","Alpha"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","boolean","boolean","String","String","boolean","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int"
"AirDefence1_hit1",3,300,250,300,0,360,0,90,20,50,0,0,200,0,-60,"false","true","true","false","sc/buildings.sc","fireball3b","true",20,0,30,1,90,-5,5,100,"true",0,0,0,0,100,100,100
"AirDefence1_hit2",10,2,800,1500,0,360,0,90,600,1500,0,0,200,0,1000,"false","true","true","false","sc/buildings.sc","fireball3b","true",23,0,1,7,9,0,90,2000,"true",0,0,0,0,100,100,100
"AirDefence1_hit3",1,300,600,1200,0,360,0,0,1,1,0,0,200,0,0,"false","false","false","false","sc/buildings.sc","wizard_tower_explosion","true",20,0,0,20,100,-10,10,500,"true",0,0,0,0,100,100,100
"AirDefence2_hit1",4,300,250,300,0,360,0,90,20,50,0,0,200,0,-60,"false","true","true","false","sc/buildings.sc","fireball3b","true",20,0,30,1,125,-5,5,100,"true",0,0,0,0,100,100,100
"AirDefence2_hit2",15,2,500,1500,0,360,0,90,600,1500,0,0,200,0,1000,"false","true","true","false","sc/buildings.sc","fireball3b","true",23,0,1,7,9,0,90,2000,"true",0,0,0,0,100,100,100
"AirDefence2_hit3",1,500,600,1200,0,360,0,0,1,1,0,0,200,0,0,"false","false","false","false","sc/buildings.sc","wizard_tower_explosion","true",20,0,0,20,110,-10,10,300,"true",0,0,0,0,100,100,100
"AirDefence2_hit4",3,500,450,500,0,360,0,0,1,1,0,0,200,0,0,"false","false","false","false","sc/buildings.sc","wizard_tower_explosion","true",20,0,60,20,110,-10,10,400,"true",0,0,0,0,100,100,100
"AirDefence3_hit1",5,400,250,300,0,360,0,90,20,50,0,0,200,0,-60,"false","true","true","false","sc/buildings.sc","fireball3b","true",20,0,40,1,150,-5,5,100,"true",0,0,0,0,100,100,100
"AirDefence3_hit2",20,2,500,1500,0,360,0,90,600,1500,0,0,200,0,1000,"false","true","true","false","sc/buildings.sc","fireball3b","true",23,0,1,7,9,0,90,2000,"true",0,0,0,0,100,100,100
