"Name","ExpPoints","IsVisible","TroopRequestCooldown","TroopDonationLimit","SpellDonationLimit","TroopDonationRefund","TroopDonationUpgrade","WarLootCapacityPercent","WarLootMultiplierPercent","BadgeLevel","BannerSWF"
"String","int","boolean","int","int","int","int","int","int","int","int","String"
1,500,"true",20,6,1,,,100,100,0,"badge_lvl1"
2,1200,"true",15,,,,,110,,,
3,1900,"true",,,,20,,,110,,
4,3100,"true",,7,2,,,120,,,
5,3800,"true",,,,,1,,115,1,"badge_lvl2"
6,4500,"true",,,,35,,130,,,
7,5200,"true",10,,,,,,120,,
8,5900,"true",,9,3,,,140,,,
9,7900,"true",,,,50,,,125,,"badge_lvl3"
10,8600,"true",,,,,2,150,,2,
11,9300,"true",,,,,,,,,"badge_lvl4"
12,10000,"true",,,,,,,,3,
13,10700,"true",,,,,,,,,"badge_lvl5"
14,15700,"true",,,,,,,,4,"badge_lvl5"
15,16400,"true",,,,,,,,,"badge_lvl6"
16,17100,"true",,,,,,,,5,"badge_lvl7"
17,17800,"true",,,,,,,,,
18,18500,"true",,,,,,,,6,
19,23500,"true",,,,,,,,,
20,24200,"true",,,,,,,,7,
21,24900,,,,,,,,,,
22,25600,,,,,,,,,,
23,26300,,,,,,,,,,
24,31300,,,,,,,,,,
25,32000,,,,,,,,,,
26,32700,,,,,,,,,,
27,33400,,,,,,,,,,
28,34100,,,,,,,,,,
29,39100,,,,,,,,,,
30,39800,,,,,,,,,,
31,40500,,,,,,,,,,
32,41200,,,,,,,,,,
33,41900,,,,,,,,,,
34,46900,,,,,,,,,,
35,47600,,,,,,,,,,
36,48300,,,,,,,,,,
37,49000,,,,,,,,,,
38,49700,,,,,,,,,,
39,54700,,,,,,,,,,
40,55400,,,,,,,,,,
41,56100,,,,,,,,,,
42,56800,,,,,,,,,,
43,57500,,,,,,,,,,
44,62500,,,,,,,,,,
45,63200,,,,,,,,,,
46,63900,,,,,,,,,,
47,64600,,,,,,,,,,
48,65300,,,,,,,,,,
49,70300,,,,,,,,,,
50,71000,,,,,,,,,,
