"Name","TID","DisplayName","RelatedLocale"
"String","String","String","String"
"EN",,"English","EN"
"FR",,"Français","FR"
"DE",,"Deutsch","DE"
"ES",,"Español","ES"
"IT",,"Italiano","IT"
"NL",,"Nederlands","NL"
"NO",,"Norsk","NO"
"PT",,"Português","PT"
"TR",,"Türkçe","TR"
"CN",,"简体中文","CN"
"JP",,"日本語","JP"
"KR",,"한국어","KR"
"RU",,"Pусский","RU"
"CNT",,"繁體中文","CNT"
"AR",,"العربية","AR"
"FA",,"فارسی","FA"
"ID",,"Bahasa Indonesia","ID"
"MS",,"Bahasa Melayu","MS"
"VI",,"Tiếng Việt","VI"
"TH",,"ภาษาไทย","TH"
"FI",,"Suomi","FI"
"OTHER","TID_LANGUAGE_OTHER","Other",
