"Name","TID","InfoTID","SWF","ExportName","ExportNameConstruction","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay"
"String","String","String","String","String","String","String","int","int","int","int","int","int","String","int","String","boolean","boolean","boolean","int","int","int","int","int","int","int","boolean","boolean","String","int"
"Barbarian Statue","TID_DECORATION_BARBARIAN_STATUE",,"sc/buildings.sc","deco_barbarian_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,
"Torch","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,1,4,2,2,1,,,"deco_torch1_base",,,,,,,,,,,"true",,,
"Goblin Pole","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_goblin_pole",,"Elixir",1000,3,0,2,2,1,,,"deco_goblinpole_base",,,,,,,,,,,,,,
"White Flag","TID_DECORATION_WHITE_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Elixir",5000,5,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Skull Flag","TID_DECORATION_SKULL_FLAG",,"sc/buildings.sc","deco_skull_flag","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Flower box 1","TID_DECORATION_FLOWERBOX1",,"sc/buildings.sc","deco_flowerbox1","generic_construction_state1","Elixir",2500,8,4,2,2,1,,,"deco_flowerbox1_base",,,,,,,,,,,,,,
"Flower box 2","TID_DECORATION_FLOWERBOX2",,"sc/buildings.sc","deco_flowerbox2","generic_construction_state1","Elixir",2500,8,4,2,2,1,,,"deco_flowerbox2_base",,,,,,,,,,,,,,
"Windmeter","TID_DECORATION_WINDMETER",,"sc/buildings.sc","deco_windmeter","generic_construction_state1","Elixir",10000,10,1,2,2,1,,,"deco_windmeter_base",,,,,,,,,,,,,,
"Down Arrow Flag","TID_DECORATION_DOWNARROW_FLAG",,"sc/buildings.sc","deco_downarrow_flag","generic_construction_state1","Elixir",15000,12,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Up Arrow Flag","TID_DECORATION_UPARROW_FLAG",,"sc/buildings.sc","deco_uparrow_flag","generic_construction_state1","Elixir",15000,12,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Skull Altar","TID_DECORATION_SKULL_ALTAR",,"sc/buildings.sc","deco_skullaltar","generic_construction_state1","Gold",500000,30,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,
"USA Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_usa_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Canada Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_cnd_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Italia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_ita_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Germany Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_ger_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Finland Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_fin_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Spain Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_spain_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"France Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_fra_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"GBR Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_gbr_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Brazil Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_bra_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Sweden Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_swe_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"China Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_chn_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Norway Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_nor_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Thailand Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_thai_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"India Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_ind_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Australia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_aus_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"South Korea Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_skor_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Japan Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_jpn_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Turkey Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_turkey_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Indonesia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_indonesia_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Netherlands Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_netherlands_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Philippines Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_philipp_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
