"Name","SWF","ExportName","ParticleEmitter","AltParticleEmitter","EmitterDelayMs","IsoLayer","CameraShake","CameraShakeTimeMS","CameraShakeInReplay","AttachToParent","OrientToParent","SortInFrontOfParent","DestroyWhenParentDies","DetachAfterStart","Targeted","Looping","Beam","MaxCount","MinLifeTime","Sound","Volume","MinPitch","MaxPitch","LowEndSound","LowEndVolume","LowEndMinPitch","LowEndMaxPitch","SoundDelay","StopSound","PitchIncrease","OffsetFromGunBone","AttachLocator","OffsetX","OffsetY","OffsetZ","Scale","LifeTimeScale"
"String","String","String","String","String","int","String","int","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","int","String","int","int","int","String","int","int","int","int","boolean","int","boolean","String","int","int","int","int","int"
"Air Defence Attack",,,"Mortar_smoke",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_attack_02.ogg",60,95,105,,100,100,100,0,"false",0,"false",,0,0,0,100,100
"Air Defence Barrel Attack",,,,,,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,,,,,,100,100,100,0,"false",0,"false",,0,0,0,100,100
"Air Defence Mini Attack",,,"Mortar_smoke",,0,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_attack_02.ogg",30,120,140,,100,100,100,0,"false",0,"false",,0,0,0,100,100
"Air Defence Mini hit1",,,"AirDefenceMini1_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",30,130,150,"sfx/wizard_hit_01.ogg",30,130,150,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefenceMini1_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini1_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence Mini hit2",,,"AirDefenceMini2_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",30,130,150,"sfx/wizard_hit_01.ogg",30,130,150,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefenceMini2_hit2",,0,,,,,,,,,,,,,,,"sfx/air_def_hit_02.ogg",30,130,150,,,,,,,,,,,,,,
,,,"AirDefenceMini2_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini2_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence Mini hit3",,,"AirDefenceMini3_hit1",,0,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",30,130,150,"sfx/wizard_hit_01.ogg",30,130,150,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefenceMini3_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini3_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenceMini3_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence Pickup",,,"Grass",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_pickup_03.ogg",80,100,100,"sfx/wall_pickup_01.ogg",80,100,100,0,"false",0,"false",,0,0,0,100,100
"Air Defence Placing",,,"Place",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/air_defense_place_01.ogg",70,100,100,"sfx/cannon_drop2.ogg",60,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence hit1",,,"AirDefence1_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",65,100,100,"sfx/wizard_hit_01.ogg",50,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefence1_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence1_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence hit2",,,"AirDefence2_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",65,100,100,"sfx/wizard_hit_01.ogg",50,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefence2_hit2",,0,,,,,,,,,,,,,,,"sfx/air_def_hit_02.ogg",65,100,100,,,,,,,,,,,,,,
,,,"AirDefence2_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence2_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defence hit3",,,"AirDefence3_hit1",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/air_def_hit_02.ogg",65,100,100,"sfx/wizard_hit_01.ogg",65,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefence3_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence3_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefence3_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
