"Name","FileName","LocalizedName","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","BoomBoxCommunityUrl","BoomBoxCommunityStagingUrl","BoomBoxCommunityContentShowsBadge","BoomBoxEsportsUrl","BoomBoxEsportsStagingUrl","TournamentHubUrl","TournamentHubStagingUrl","HelpshiftLanguageTagOverride","ForcedFontName","SelfHelpUrl"
"String","String","String","boolean","boolean","String","String","String","int","boolean","String","boolean","String","String","String","String","boolean","String","String","String","String","String","String","String"
"EN","localization/texts.csv","English",,,,"en",,1,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com","https://inbox.clashofclans.com/community","https://inbox-staging.clashofclans.com/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en","EN",,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html"
"FR","localization/texts.csv","Français",,,,"fr",,2,,,"true","https://inbox.clashofclans.com/fr","https://inbox-staging.clashofclans.com/fr","https://inbox.clashofclans.com/fr/community","https://inbox-staging.clashofclans.com/fr/community",,"https://inbox.clashofclans.com/fr/esport","https://inbox-staging.clashofclans.com/fr/esport","https://clashofclans.scescdn.com/fr","https://clashofclans-dev.scescdn.com/fr","FR",,"https://ingame.help.supercellsupport.com/clash-of-clans/fr/index.html"
"DE","localization/texts.csv","Deutsch",,,,"de",,3,,,"true","https://inbox.clashofclans.com/de","https://inbox-staging.clashofclans.com/de","https://inbox.clashofclans.com/de/community","https://inbox-staging.clashofclans.com/de/community",,"https://inbox.clashofclans.com/de/esport","https://inbox-staging.clashofclans.com/de/esport","https://clashofclans.scescdn.com/de","https://clashofclans-dev.scescdn.com/de","DE",,"https://ingame.help.supercellsupport.com/clash-of-clans/de/index.html"
"ES","localization/texts.csv","Español",,,,"es",,4,,,"true","https://inbox.clashofclans.com/es","https://inbox-staging.clashofclans.com/es","https://inbox.clashofclans.com/es/community","https://inbox-staging.clashofclans.com/es/community",,"https://inbox.clashofclans.com/es/esport","https://inbox-staging.clashofclans.com/es/esport","https://clashofclans.scescdn.com/es","https://clashofclans-dev.scescdn.com/es","ES",,"https://ingame.help.supercellsupport.com/clash-of-clans/es/index.html"
"IT","localization/texts.csv","Italiano",,,,"it",,5,,,"true","https://inbox.clashofclans.com/it","https://inbox-staging.clashofclans.com/it","https://inbox.clashofclans.com/it/community","https://inbox-staging.clashofclans.com/it/community",,"https://inbox.clashofclans.com/it/esport","https://inbox-staging.clashofclans.com/it/esport","https://clashofclans.scescdn.com/it","https://clashofclans-dev.scescdn.com/it","IT",,"https://ingame.help.supercellsupport.com/clash-of-clans/it/index.html"
"NL","localization/texts.csv","Nederlands",,,,"nl",,6,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/nl","https://inbox.clashofclans.com/nl/community","https://inbox-staging.clashofclans.com/nl/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en","NL",,"https://ingame.help.supercellsupport.com/clash-of-clans/nl/index.html"
"NO","localization/texts.csv","Norsk",,,,,,7,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/no","https://inbox.clashofclans.com/community","https://inbox-staging.clashofclans.com/no/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en","NO",,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html"
"PT","localization/texts.csv","Português",,,,"pt","pt_Br",8,,,"true","https://inbox.clashofclans.com/pt","https://inbox-staging.clashofclans.com/pt","https://inbox.clashofclans.com/pt/community","https://inbox-staging.clashofclans.com/pt/community",,"https://inbox.clashofclans.com/pt/esport","https://inbox-staging.clashofclans.com/pt/esport","https://clashofclans.scescdn.com/pt","https://clashofclans-dev.scescdn.com/pt","PT",,"https://ingame.help.supercellsupport.com/clash-of-clans/pt/index.html"
"TR","localization/texts.csv","Türkçe",,,,"tr",,9,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/tr","https://inbox.clashofclans.com/tr/community","https://inbox-staging.clashofclans.com/tr/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en","TR",,"https://ingame.help.supercellsupport.com/clash-of-clans/tr/index.html"
