"Name","MapInstanceName","MapDependencies","TID","ExpLevel","Type","TutorialUnlockTHLevel","TutorialTHLevel","minRecommendedTHLevel","UnitType","UnitCount","LevelFile","Gold","Elixir","DarkElixir","AlwaysUnlocked","PlayerName","AllianceName","AllianceBadge","SinglePlayer","AllianceUnitType","AllianceUnitLevel","AllianceUnitCount","FixedArmyUnitType","FixedArmyUnitLevel","FixedArmyUnitCount","FixedArmyUnitAlliance","FixedArmyUnitPet","FixedArmyUnitPetLevel","FixedArmySkin","DeploySteps","UseFullMapSize","DefendingHero","DefendingHeroLevel","DefendingHeroSkin","VillageBackground","AttackTimeSeconds"
"String","String","String","String","int","String","int","int","int","String","int","String","int","int","int","boolean","String","String","int","boolean","String","int","int","String","int","int","boolean","String","int","int","String","boolean","string","int","int","int","int"
"TutorialNPC","npc1",,"TID_NPC_NAME_TUTORIAL",1,,,,,"TutorialGoblin",6,"level/tutorial_npc.json",500,500,,"true",,,,"TRUE",,,,,,,,,,,,,,,,,
"TutorialNPC2","npc2","TutorialNPC","TID_NPC_NAME_TUTORIAL2",2,,,,,"TutorialGoblin",3,"level/tutorial_npc2.json",500,500,,"true",,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC1","npc3","TutorialNPC2","TID_NPC1",4,,,,2,,,"level/npc1.json",1500,1500,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC2","npc4","NPC1","TID_NPC2",4,,,,2,,,"level/npc2.json",2500,2500,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC3","npc5","NPC2","TID_NPC3",6,,,,3,,,"level/npc3.json",3000,3000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC4","npc6","NPC3","TID_NPC4",6,,,,3,,,"level/npc4.json",4000,4000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC5","npc7","NPC4","TID_NPC5",7,,,,3,,,"level/npc5.json",5000,5000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC6","npc8","NPC5","TID_NPC6",8,,,,3,,,"level/npc6.json",8000,4000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC7","npc9","NPC6","TID_NPC7",10,,,,4,,,"level/npc7.json",8000,8000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC8","npc10","NPC7","TID_NPC8",10,,,,4,,,"level/npc8.json",8000,12000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC9","npc11","NPC8","TID_NPC9",12,,,,4,,,"level/npc9.json",10000,14000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC10","npc12","NPC9","TID_NPC10",12,,,,4,,,"level/npc10.json",20000,6000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC11","npc13","NPC10","TID_NPC11",13,,,,5,,,"level/npc11.json",14000,14000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC12","npc14","NPC11","TID_NPC12",13,,,,5,,,"level/npc12.json",20000,10000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC13","npc15","NPC12","TID_NPC13",13,,,,5,,,"level/npc13.json",16000,16000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC14","npc16","NPC13","TID_NPC14",13,,,,5,,,"level/npc14.json",17000,17000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC15","npc17","NPC14","TID_NPC15",14,,,,5,,,"level/npc15.json",16000,20000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
,,"NPC11",,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC16","npc18","NPC15","TID_NPC16",14,,,,5,,,"level/npc16.json",24000,14000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC17","npc19","NPC16","TID_NPC17",14,,,,6,,,"level/npc17.json",20000,20000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC18","npc20","NPC17","TID_NPC18",14,,,,6,,,"level/npc18.json",15000,30000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC19","npc21","NPC18","TID_NPC19",14,,,,6,,,"level/npc19.json",24000,24000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC20","npc22","NPC19","TID_NPC20",14,,,,6,,,"level/npc20.json",25000,25000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC21","npc23","NPC20","TID_NPC21",14,,,,6,,,"level/npc21.json",30000,30000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC22","npc24","NPC21","TID_NPC22",14,,,,6,,,"level/npc22.json",35000,35000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC23","npc25","NPC22","TID_NPC23",14,,,,6,,,"level/npc23.json",40000,40000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC24","npc26","NPC23","TID_NPC24",14,,,,6,,,"level/npc24.json",45000,45000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC25","npc27","NPC24","TID_NPC25",14,,,,7,,,"level/npc25.json",20000,80000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC26","npc28","NPC25","TID_NPC26",14,,,,7,,,"level/npc26.json",60000,60000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC27","npc29","NPC26","TID_NPC27",15,,,,7,,,"level/npc27.json",70000,70000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC28","npc30","NPC27","TID_NPC28",14,,,,7,,,"level/npc28.json",150000,2000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC29","npc31","NPC28","TID_NPC29",14,,,,7,,,"level/npc29.json",80000,80000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC30","npc32","NPC29","TID_NPC30",15,,,,7,,,"level/npc30.json",90000,90000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC31","npc33","NPC30","TID_NPC31",15,,,,7,,,"level/npc31.json",50000,140000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC32","npc34","NPC31","TID_NPC32",15,,,,7,,,"level/npc32.json",150000,50000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC33","npc35","NPC32","TID_NPC33",15,,,,8,,,"level/npc33.json",110000,110000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC34","npc36","NPC33","TID_NPC34",15,,,,8,,,"level/npc34.json",120000,120000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC35","npc37","NPC34","TID_NPC35",15,,,,8,,,"level/npc35.json",130000,130000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC36","npc38","NPC35","TID_NPC36",15,,,,8,,,"level/npc36.json",2000,270000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC37","npc39","NPC36","TID_NPC37",15,,,,8,,,"level/npc37.json",140000,140000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC38","npc40","NPC37","TID_NPC38",15,,,,8,,,"level/npc38.json",150000,150000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC39","npc41","NPC38","TID_NPC39",15,,,,8,,,"level/npc39.json",150000,150000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC40","npc42","NPC39","TID_NPC40",15,,,,8,,,"level/npc40.json",150000,150000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC41","npc43","NPC40","TID_NPC41",16,,,,9,,,"level/npc41.json",200000,200000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC42","npc44","NPC41","TID_NPC42",16,,,,9,,,"level/npc42.json",250000,250000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC43","npc45","NPC42","TID_NPC43",16,,,,9,,,"level/npc43.json",300000,300000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC44","npc46","NPC43","TID_NPC44",17,,,,9,,,"level/npc44.json",400000,400000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
,,"NPC39",,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC45","npc47","NPC44","TID_NPC45",17,,,,9,,,"level/npc45.json",500000,500000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC46","npc48","NPC45","TID_NPC46",17,,,,9,,,"level/npc46.json",600000,600000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC47","npc49","NPC46","TID_NPC47",17,,,,9,,,"level/npc47.json",700000,700000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC48","npc50","NPC47","TID_NPC48",17,,,,9,,,"level/npc48.json",800000,800000,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"DuelNPC",,,,34,,,,,,,"level/v2_tutorial.json",100,100,,"true","Master Jimmy","The Order",1526736218,"FALSE",,,,,,,,,,,,,,,,,
"NPC51","npc51","NPC48","TID_NPC51",17,,,,9,,,"level/npc49.json",300000,300000,2000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC52","npc52","NPC51","TID_NPC52",17,,,,10,,,"level/npc50.json",350000,350000,2500,,,,,"TRUE",,,,,,,,,,,,,,,,,
