"Name","TID","IconSWF","IconExportName","SortKey"
"String","String","String","String","int"
"ClanWars","TID_CLAN_TAG_CLAN_WARS","sc/ui.sc","icon_tag_clan_wars",
"CWL","TID_CLAN_TAG_CLAN_WAR_LEAGUE","sc/ui.sc","icon_tag_war_leagues",
"TrophyPushing","TID_CLAN_TAG_TROPHY_PUSHING","sc/ui.sc","icon_tag_trophy_pushing",
"FriendlyWar","TID_CLAN_TAG_FRIENDLY_WARS","sc/ui.sc","icon_tag_friendly_wars",
"ClanGames","TID_CLAN_TAG_CLAN_GAMES","sc/ui.sc","icon_tag_clan_games",
"BuilderBase","TID_CLAN_TAG_BUILDER_BASE","sc/ui.sc","icon_tag_builder_base",
"BaseDesigning","TID_CLAN_TAG_BASE_DESIGNING","sc/ui.sc","icon_tag_base_design",
"Farming","TID_CLAN_TAG_FARMING","sc/ui.sc","icon_tag_farming",
"ActiveDonator","TID_CLAN_TAG_ACTIVE_DONATOR","sc/ui.sc","icon_tag_donate",
"ActiveDaily","TID_CLAN_TAG_ACTIVE_DAILY","sc/ui.sc","icon_tag_active_daily",
"HungryLearner","TID_CLAN_TAG_HUNGRY_LEARNER","sc/ui.sc","icon_tag_hungry_learner",
"Friendly","TID_CLAN_TAG_FRIENDLY","sc/ui.sc","icon_tag_friendly",
"Talkative","TID_CLAN_TAG_TALKATIVE","sc/ui.sc","icon_tag_talkative",
"Teacher","TID_CLAN_TAG_TEACHER","sc/ui.sc","icon_tag_teacher",
"Competitive","TID_CLAN_TAG_COMPETITIVE","sc/ui.sc","icon_tag_serious",
"Veteran","TID_CLAN_TAG_VETERAN","sc/ui.sc","icon_tag_veteran",
"Newbie","TID_CLAN_TAG_NEWBIE","sc/ui.sc","icon_tag_newbie",
"AmateurAttacker","TID_CLAN_TAG_AMATEUR_ATTACKER","sc/ui.sc","icon_tag_amateur_attacker",
