"Name","TaskType","ProgressType","Set","TID","InfoTID","IconSWF","IconExportName","Score","DurationMinutes","Quantity","Quantity2","Data1","Data2","SelectionWeight","Disabled"
"String","String","String","String","String","String","String","String","int","int","int","int","String","String","int","boolean"
"Social_Home_BuildClanCastle","RepairBuilding","Best","Regular","TID_STARTER_TH3_BUILDCLANCASTLE","TID_STARTER_TH3_INFO_BUILDCLANCASTLE","sc/buildings.sc","alliance_castle_lvl2",200,9999,1,,"Alliance Castle",,,
"Social_JoinClan","HaveClan","Best","Regular","TID_STARTER_TH3_JOINCLAN","TID_STARTER_TH3_INFO_JOINCLAN","sc/buildings.sc","alliance_castle_lvl2",150,9999,1,,,,,
"Social_RequestTroops_TH3","RequestDonations","Accumulative","Regular","TID_STARTER_REQUESTTROOPS_TH3","TID_STARTER_INFO_REQUESTTROOPS_TH3","sc/ui.sc","Request_Troops_Clan_Icon",100,9999,3,,,,,
"TH2_Win_Achievement","ClaimTotalAchievements","Best","Regular","TID_STARTER_TH2_CLAIMACHIEVEMENT","TID_STARTER_TH2_INFO_CLAIMACHIEVEMENT","sc/ui.sc","Claim_Achievement_Icon",150,9999,5,,,,,
"TH2_Home_BuildWalls","UpgradeBuilding","Best","Regular","TID_STARTER_TH2_BUILDWALLS","TID_STARTER_TH2_INFO_BUILDWALLS","sc/ui.sc","Upgrade_Walls_Home_Icon",50,9999,25,1,"Wall",,,
"TH2_Home_UpgradeArmyCamp","UpgradeBuilding","Best","Regular","TID_STARTER_TH2_UPGRADEARMYCAMP","TID_STARTER_TH2_INFO_UPGRADEARMYCAMP","sc/buildings.sc","fireplace_lvl2",75,9999,1,2,"Troop Housing",,,
"TH2_Home_BuildArcherTower","UpgradeBuilding","Best","Regular","TID_STARTER_TH2_UPGRADEARCHERTOWER","TID_STARTER_TH2_INFO_UPGRADEARCHERTOWER","sc/buildings.sc","tower_turret_lvl1",75,9999,1,1,"Archer Tower",,,
"TH2_Home_BuildBarracks","UpgradeBuilding","Best","Regular","TID_STARTER_TH2_BUILDBARRACKS","TID_STARTER_TH2_INFO_BUILDBARRACKS","sc/buildings.sc","barracks_lvl1",25,9999,2,1,"Barrack",,,
"TH2_Home_UpgradeBarracks","UpgradeBuilding","Best","Regular","TID_STARTER_TH2_UPGRADEBARRACKS","TID_STARTER_INFO_BUILDANY","sc/buildings.sc","barracks_lvl3",50,9999,2,2,"Barrack",,,
