"Name","TaskType","ProgressType","Set","TID","InfoTID","IconSWF","IconExportName","Score","DurationMinutes","Quantity","Quantity2","Data1","Data2","SelectionWeight","ReviveCost","Disabled"
"String","String","String","String","String","String","String","String","int","int","int","int","String","String","int","int","boolean"
"DestroyEagleArtillery","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",175,480,2,,"Ancient Artillery",,27,10,"TRUE"
"DestroyElixirPumps","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRPUMPS","sc/buildings.sc","elixir_pump_lvl6",125,480,8,,"Elixir Pump",,27,10,"TRUE"
"DestroyGoldMines","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDMINES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDMINES","sc/buildings.sc","goldmine_lvl6",125,480,8,,"Gold Mine",,27,10,"TRUE"
"DestroyElixirStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRSTORAGES","sc/buildings.sc","elixir_storage_level6",175,480,5,,"Elixir Storage",,27,10,"TRUE"
"DestroyGoldStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_GOLDSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDSTORAGES","sc/buildings.sc","gold_storage_lvl6",175,480,5,,"Gold Storage",,27,10,"TRUE"
"DestroyMortars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_MORTARS","TID_CLANGAMES_TASK_INFO_DESTROY_MORTARS","sc/buildings.sc","mortar_lvl4",175,480,5,,"Mortar",,27,10,"TRUE"
"DestroyWizardTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_WIZARDTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_WIZARDTOWERS","sc/buildings.sc","wizard_tower_lvl4",175,480,6,,"Wizard Tower",,27,10,"TRUE"
"DestroyCannons","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_CANNONS","TID_CLANGAMES_TASK_INFO_DESTROY_CANNONS","sc/buildings.sc","basic_turret_lvl7",175,480,8,,"Cannon",,27,10,"TRUE"
"DestroyArcherTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ARCHERTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_ARCHERTOWERS","sc/buildings.sc","tower_turret_lvl3",175,480,9,,"Archer Tower",,27,10,"TRUE"
